
Date        West     East     DMI(=West-East)
1879:11:16:0 -0.692658 -0.215789 -0.476869
1879:12:16:0 -0.65373 -0.28745 -0.36628
1880:1:16:0 -0.633915 -0.369633 -0.264282
1880:2:16:0 -0.285259 -0.216704 -0.0685548
1880:3:16:0 -0.226795 -0.075583 -0.151212
1880:4:16:0 -0.0493762 -0.257393 0.208017
1880:5:16:0 -0.298378 -0.388043 0.0896652
1880:6:16:0 -0.47444 -0.391177 -0.0832631
1880:7:16:0 -0.273301 -0.0711829 -0.202118
1880:8:16:0 -0.0725983 0.194059 -0.266657
1880:9:16:0 -0.203168 -0.0430442 -0.160124
1880:10:16:0 -0.336937 0.0159104 -0.352847
1880:11:16:0 -0.148841 0.119681 -0.268522
1880:12:16:0 -0.160193 -0.0527921 -0.107401
1881:1:16:0 -0.298519 -0.327434 0.0289155
1881:2:16:0 -0.303606 0.0111336 -0.314739
1881:3:16:0 0.0392487 0.216767 -0.177518
1881:4:16:0 0.0616771 0.311621 -0.249943
1881:5:16:0 0.264637 0.175984 0.0886524
1881:6:16:0 0.204359 -0.182375 0.386734
1881:7:16:0 0.304143 0.111495 0.192648
1881:8:16:0 0.289443 0.0551893 0.234253
1881:9:16:0 0.115548 0.0268567 0.0886916
1881:10:16:0 -0.0155046 0.0428566 -0.0583611
1881:11:16:0 -0.143499 -0.0580872 -0.0854116
1881:12:16:0 -0.177341 0.0789858 -0.256327
1882:1:16:0 -0.117714 0.247766 -0.365481
1882:2:16:0 -0.115016 0.362614 -0.47763
1882:3:16:0 -0.0211923 -0.0429398 0.0217475
1882:4:16:0 0.0545217 -0.00782737 0.062349
1882:5:16:0 -0.0295208 -0.182289 0.152768
1882:6:16:0 -0.211199 -0.353427 0.142228
1882:7:16:0 -0.159143 -0.250383 0.0912401
1882:8:16:0 -0.188165 -0.00513285 -0.183032
1882:9:16:0 -0.194686 0.0524678 -0.247153
1882:10:16:0 -0.166559 -0.0496677 -0.116891
1882:11:16:0 -0.358371 -0.26754 -0.090831
1882:12:16:0 -0.522548 -0.337185 -0.185363
1883:1:16:0 -0.184775 0.329172 -0.513947
1883:2:16:0 -0.0505639 -0.0304988 -0.0200651
1883:3:16:0 -0.263596 -0.132166 -0.13143
1883:4:16:0 -0.243157 -0.331894 0.0887368
1883:5:16:0 -0.20331 -0.232975 0.0296648
1883:6:16:0 0.189971 0.0590389 0.130932
1883:7:16:0 0.0484758 0.00622167 0.0422542
1883:8:16:0 -0.153439 -0.339497 0.186058
1883:9:16:0 -0.328233 -0.217626 -0.110607
1883:10:16:0 -0.343692 -0.377925 0.034233
1883:11:16:0 -0.354841 -0.281428 -0.0734136
1883:12:16:0 -0.544912 -0.45688 -0.0880315
1884:1:16:0 -0.595109 -0.381278 -0.213832
1884:2:16:0 -0.334047 -0.342987 0.00893977
1884:3:16:0 -0.262835 -0.117054 -0.145781
