
Date        West     East     DMI(=West-East)
1913:1:16:0 -0.316025 -0.26842 -0.0476049
1913:2:16:0 0.0272314 -0.0273331 0.0545645
1913:3:16:0 -0.390728 -0.42093 0.0302017
1913:4:16:0 -0.444547 -0.38317 -0.0613776
1913:5:16:0 -0.301691 -0.341303 0.0396121
1913:6:16:0 -0.214533 -0.533194 0.318661
1913:7:16:0 -0.461448 -0.440939 -0.0205088
1913:8:16:0 -0.577638 -0.406202 -0.171435
1913:9:16:0 -0.337795 -0.26636 -0.0714349
1913:10:16:0 -0.2098 -0.466865 0.257065
1913:11:16:0 -0.127639 -0.16072 0.0330812
1913:12:16:0 -0.0999813 -0.0818508 -0.0181306
1914:1:16:0 -0.130291 -0.0331166 -0.0971741
1914:2:16:0 0.0691288 0.0554282 0.0137006
1914:3:16:0 -0.1319 0.048051 -0.179951
1914:4:16:0 -0.120849 -0.0909785 -0.0298709
1914:5:16:0 -0.0606096 -0.184559 0.123949
1914:6:16:0 0.450746 -0.311596 0.762342
1914:7:16:0 0.346309 -0.0594695 0.405778
1914:8:16:0 0.140585 -0.135112 0.275698
1914:9:16:0 -0.0619201 -0.391723 0.329803
1914:10:16:0 0.122696 -0.206966 0.329661
1914:11:16:0 -0.0380137 0.246437 -0.28445
1914:12:16:0 -0.283163 0.191611 -0.474774
1915:1:16:0 -0.334923 0.104406 -0.439329
1915:2:16:0 -0.319994 0.180913 -0.500907
1915:3:16:0 -0.126353 0.101824 -0.228177
1915:4:16:0 0.123273 0.201206 -0.0779326
1915:5:16:0 -0.0163171 0.247022 -0.26334
1915:6:16:0 0.300212 0.275362 0.0248494
1915:7:16:0 -0.0454162 0.333522 -0.378939
1915:8:16:0 -0.0792919 0.0443701 -0.123662
1915:9:16:0 0.162033 0.140123 0.0219098
1915:10:16:0 0.0186916 -0.060037 0.0787286
1915:11:16:0 0.0237609 -0.0290006 0.0527615
1915:12:16:0 -0.00752482 -0.219562 0.212037
1916:1:16:0 -0.302578 -0.362387 0.0598091
1916:2:16:0 -0.236557 -0.395781 0.159224
1916:3:16:0 -0.139405 -0.375257 0.235852
1916:4:16:0 0.0349527 -0.306976 0.341929
1916:5:16:0 -0.167807 -0.241833 0.0740257
1916:6:16:0 -0.1738 0.00339464 -0.177195
1916:7:16:0 -0.341647 0.0167569 -0.358404
1916:8:16:0 -0.323139 0.206626 -0.529766
1916:9:16:0 -0.45919 0.394217 -0.853407
1916:10:16:0 -0.515535 0.0462733 -0.561808
1916:11:16:0 -0.747223 -0.318969 -0.428254
1916:12:16:0 -0.437415 -0.393945 -0.0434693
1917:1:16:0 -0.417577 -0.579058 0.161482
1917:2:16:0 -0.377992 -0.514749 0.136757
1917:3:16:0 -0.59991 -0.687466 0.0875562
1917:4:16:0 -0.409344 -0.382418 -0.0269252
1917:5:16:0 -0.534575 -0.36478 -0.169795
1917:6:16:0 -0.322011 -0.204522 -0.117488
1917:7:16:0 -0.215982 0.0483894 -0.264371
1917:8:16:0 -0.0245809 0.0901803 -0.114761
1917:9:16:0 -0.129864 0.332892 -0.462756
1917:10:16:0 -0.523178 0.13892 -0.662098
1917:11:16:0 -0.690284 -0.0856485 -0.604636
1917:12:16:0 -0.77609 -0.34735 -0.42874
1918:1:16:0 -0.579049 -0.780186 0.201137
1918:2:16:0 -0.639024 -0.964665 0.325641
1918:3:16:0 -0.487873 -0.766964 0.279091
1918:4:16:0 -0.581749 -0.501414 -0.0803356
1918:5:16:0 -0.522338 -0.333299 -0.189039
1918:6:16:0 -0.343521 -0.366082 0.0225613
1918:7:16:0 -0.141396 -0.334664 0.193268
1918:8:16:0 -0.211743 -0.445957 0.234214
1918:9:16:0 0.0231921 -0.366677 0.389869
1918:10:16:0 0.244751 -0.295663 0.540413
1918:11:16:0 0.350062 -0.124486 0.474548
1918:12:16:0 0.0781775 -0.21201 0.290187
1919:1:16:0 0.237645 0.0809216 0.156724
1919:2:16:0 0.153632 0.0889481 0.064684
1919:3:16:0 -0.0462908 0.0583175 -0.104608
1919:4:16:0 -0.0772324 0.128431 -0.205664
1919:5:16:0 0.0595944 0.227911 -0.168316
1919:6:16:0 0.0517508 0.190285 -0.138534
1919:7:16:0 0.0253345 -0.114617 0.139951
1919:8:16:0 -0.050992 -0.0454257 -0.0055663
1919:9:16:0 0.0978131 -0.0682118 0.166025
1919:10:16:0 -0.170906 -0.216354 0.0454481
1919:11:16:0 -0.474445 -0.489847 0.0154023
1919:12:16:0 -0.406837 -0.23796 -0.168877
1920:1:16:0 -0.0375453 -0.236502 0.198956
1920:2:16:0 -0.0853813 -0.322177 0.236795
1920:3:16:0 0.0204293 -0.287018 0.307448
1920:4:16:0 -0.0565706 -0.319071 0.2625
1920:5:16:0 0.112008 -0.382012 0.494021
1920:6:16:0 -0.22222 -0.378671 0.15645
1920:7:16:0 -0.587784 -0.325859 -0.261925
1920:8:16:0 -0.246512 0.0334304 -0.279943
1920:9:16:0 -0.24689 -0.0369213 -0.209969
1920:10:16:0 -0.340075 -0.283662 -0.0564125
1920:11:16:0 -0.370786 -0.0726986 -0.298087
1920:12:16:0 -0.39677 -0.243416 -0.153354
1921:1:16:0 -0.387993 -0.28222 -0.105773
1921:2:16:0 -0.336545 -0.372408 0.0358623
1921:3:16:0 -0.345017 -0.439492 0.0944752
1921:4:16:0 -0.16826 -0.183039 0.0147789
1921:5:16:0 -0.303511 -0.485679 0.182168
1921:6:16:0 -0.334169 -0.336103 0.0019342
1921:7:16:0 -0.301548 -0.186677 -0.114871
1921:8:16:0 -0.581318 0.0419019 -0.62322
1921:9:16:0 -0.383163 -0.236664 -0.146498
1921:10:16:0 -0.111632 -0.0339754 -0.0776562
1921:11:16:0 -0.340955 -0.142518 -0.198437
1921:12:16:0 -0.107337 0.0423523 -0.14969
1922:1:16:0 -0.28405 -0.0940786 -0.189972
1922:2:16:0 -0.129323 -0.11477 -0.0145524
1922:3:16:0 -0.157743 -0.405226 0.247483
1922:4:16:0 -0.444233 -0.260532 -0.183701
1922:5:16:0 -0.385574 -0.239495 -0.146079
1922:6:16:0 -0.0819846 -0.220192 0.138208
1922:7:16:0 -0.343562 -0.118728 -0.224833
1922:8:16:0 -0.191704 -0.0888238 -0.102881
1922:9:16:0 -0.389766 -0.270754 -0.119012
1922:10:16:0 -0.202933 -0.0640244 -0.138909
1922:11:16:0 -0.252387 0.011196 -0.263583
1922:12:16:0 -0.443556 -0.374498 -0.0690578
1923:1:16:0 -0.432986 -0.416269 -0.0167178
1923:2:16:0 -0.478354 -0.258838 -0.219517
1923:3:16:0 -0.299602 -0.189525 -0.110077
1923:4:16:0 -0.17461 -0.136256 -0.0383541
1923:5:16:0 -0.15039 -0.0658426 -0.0845473
1923:6:16:0 -0.145959 -0.262619 0.11666
1923:7:16:0 -0.320481 -0.237099 -0.0833821
1923:8:16:0 -0.224332 -0.524323 0.299991
1923:9:16:0 -0.13674 -0.767988 0.631248
1923:10:16:0 0.105588 -0.545778 0.651366
1923:11:16:0 0.256137 -0.456478 0.712615
1923:12:16:0 -0.0824647 -0.107731 0.0252667
1924:1:16:0 -0.116158 0.135104 -0.251263
1924:2:16:0 -0.0767753 0.331956 -0.408731
1924:3:16:0 -0.00583303 0.248048 -0.253881
1924:4:16:0 0.00666955 0.0639349 -0.0572653
1924:5:16:0 -0.232615 -0.0545867 -0.178028
1924:6:16:0 -0.16461 0.0508596 -0.21547
1924:7:16:0 -0.138559 -0.0633378 -0.0752212
1924:8:16:0 -0.251263 -0.132967 -0.118295
1924:9:16:0 -0.19752 0.0592759 -0.256796
1924:10:16:0 -0.134221 -0.324381 0.19016
1924:11:16:0 -0.456669 -0.337571 -0.119099
1924:12:16:0 -0.383305 -0.253705 -0.129601
1925:1:16:0 -0.551983 -0.42459 -0.127392
1925:2:16:0 -0.483229 -0.639959 0.156729
1925:3:16:0 -0.310199 -0.474188 0.163989
1925:4:16:0 -0.0728001 -0.755446 0.682645
1925:5:16:0 -0.215523 -0.397031 0.181507
1925:6:16:0 -0.201614 -0.501306 0.299691
1925:7:16:0 -0.0805831 -0.220003 0.13942
1925:8:16:0 -0.132949 -0.400934 0.267985
1925:9:16:0 0.142375 -0.623186 0.76556
1925:10:16:0 0.0677076 -0.41397 0.481678
1925:11:16:0 0.18219 -0.200956 0.383145
1925:12:16:0 -0.0127275 -0.0946016 0.0818741
1926:1:16:0 0.0948619 -0.087132 0.181994
1926:2:16:0 -0.1077 0.0666257 -0.174326
1926:3:16:0 0.153717 0.0243183 0.129399
1926:4:16:0 -3.1348e-05 0.0461082 -0.0461395
1926:5:16:0 0.0909476 -0.0540872 0.145035
1926:6:16:0 0.13382 -0.223355 0.357175
1926:7:16:0 0.215505 0.13333 0.0821746
1926:8:16:0 0.0770896 -0.216332 0.293422
1926:9:16:0 -0.049732 -0.0424563 -0.00727575
1926:10:16:0 0.134802 -0.133527 0.268329
1926:11:16:0 -0.227979 -0.0118767 -0.216102
1926:12:16:0 -0.223926 -0.0413803 -0.182545
1927:1:16:0 -0.317403 -0.3034 -0.0140026
1927:2:16:0 0.190277 -0.0345894 0.224866
1927:3:16:0 -0.246646 -0.219981 -0.0266657
1927:4:16:0 -0.324028 -0.130714 -0.193314
1927:5:16:0 -0.334294 -0.31172 -0.0225744
1927:6:16:0 -0.218868 -0.272873 0.0540048
1927:7:16:0 -0.190834 0.0624825 -0.253316
1927:8:16:0 -0.337276 -0.0380845 -0.299191
1927:9:16:0 -0.260439 0.000938291 -0.261377
1927:10:16:0 -0.209221 0.00113536 -0.210357
1927:11:16:0 -0.188493 -0.182605 -0.00588745
1927:12:16:0 -0.230662 -0.0900144 -0.140648
1928:1:16:0 -0.0361399 0.147931 -0.184071
1928:2:16:0 0.0156895 0.189183 -0.173493
1928:3:16:0 -0.111754 -0.000838616 -0.110916
1928:4:16:0 -0.330255 -0.227191 -0.103065
1928:5:16:0 -0.181218 -0.135544 -0.0456742
1928:6:16:0 -0.194439 0.0552139 -0.249653
1928:7:16:0 -0.32371 -0.000235845 -0.323475
1928:8:16:0 -0.297155 0.273908 -0.571064
1928:9:16:0 -0.169583 0.308536 -0.478119
1928:10:16:0 -0.287566 0.0399852 -0.327551
1928:11:16:0 0.0478528 -0.031163 0.0790158
1928:12:16:0 -0.122109 0.0103529 -0.132462
1929:1:16:0 -0.216783 -0.125252 -0.0915311
1929:2:16:0 -0.348933 -0.180596 -0.168337
1929:3:16:0 -0.270127 -0.205896 -0.0642309
1929:4:16:0 -0.0796442 -0.0661155 -0.0135287
1929:5:16:0 -0.402718 -0.271327 -0.131391
1929:6:16:0 -0.345455 -0.315262 -0.0301929
1929:7:16:0 -0.411808 -0.335084 -0.0767238
1929:8:16:0 -0.377875 -0.198722 -0.179153
1929:9:16:0 -0.12583 -0.20994 0.0841094
1929:10:16:0 -0.113161 -0.145714 0.0325532
1929:11:16:0 -0.100819 -0.0970388 -0.00378066
1929:12:16:0 0.173442 -0.0324651 0.205907
1930:1:16:0 -0.127976 0.107722 -0.235698
1930:2:16:0 -0.196644 0.131754 -0.328398
1930:3:16:0 -0.0128899 0.130761 -0.143651
1930:4:16:0 0.139026 0.183475 -0.0444482
1930:5:16:0 -0.260505 -0.0410394 -0.219465
1930:6:16:0 -0.239584 -0.308557 0.0689724
1930:7:16:0 -0.260934 -0.170855 -0.0900795
1930:8:16:0 -0.163326 -0.134983 -0.0283429
1930:9:16:0 -0.264797 0.143212 -0.408009
1930:10:16:0 0.00107396 0.0330516 -0.0319777
1930:11:16:0 0.280019 -0.103601 0.38362
1930:12:16:0 0.099897 -0.0195934 0.11949
1931:1:16:0 0.318153 0.18599 0.132164
1931:2:16:0 0.425082 0.568528 -0.143447
1931:3:16:0 0.184335 0.563265 -0.37893
1931:4:16:0 0.164664 0.481241 -0.316577
1931:5:16:0 0.304063 0.331683 -0.0276192
1931:6:16:0 0.269174 0.335041 -0.065867
1931:7:16:0 0.279481 0.366674 -0.0871935
1931:8:16:0 0.000874591 0.192465 -0.19159
1931:9:16:0 -0.248479 0.357965 -0.606444
1931:10:16:0 -0.103649 0.0969511 -0.200601
1931:11:16:0 0.13948 0.0487089 0.0907716
1931:12:16:0 -0.387912 0.182358 -0.57027
1932:1:16:0 -0.258134 -0.0213062 -0.236828
1932:2:16:0 -0.435689 -0.0484739 -0.387216
1932:3:16:0 -0.200051 0.0516014 -0.251652
1932:4:16:0 -0.158675 -0.241207 0.082532
1932:5:16:0 -0.108537 0.0328256 -0.141363
1932:6:16:0 -0.176428 -0.0113879 -0.16504
1932:7:16:0 -0.0789023 -0.157072 0.0781699
1932:8:16:0 -0.0882887 0.0872915 -0.17558
1932:9:16:0 -0.187032 -0.174232 -0.0128009
1932:10:16:0 -0.248124 0.0849357 -0.33306
1932:11:16:0 -0.220944 -0.184065 -0.0368795
1932:12:16:0 -0.150689 -0.350843 0.200153
1933:1:16:0 0.0703483 0.0742627 -0.00391436
1933:2:16:0 0.0193875 -0.0780989 0.0974865
1933:3:16:0 -0.0706498 -0.277374 0.206724
1933:4:16:0 -0.0103742 -0.391107 0.380732
1933:5:16:0 -0.0648526 0.052257 -0.11711
1933:6:16:0 -0.142057 -0.0530831 -0.0889735
1933:7:16:0 -0.070514 0.0684131 -0.138927
1933:8:16:0 -0.178844 0.129017 -0.307861
1933:9:16:0 -0.551454 0.60032 -1.15177
1933:10:16:0 -0.420462 0.168582 -0.589045
1933:11:16:0 -0.384487 -0.0602466 -0.324241
1933:12:16:0 -0.339109 -0.108185 -0.230924
1934:1:16:0 -0.662848 -0.250384 -0.412464
1934:2:16:0 -0.671718 -0.600687 -0.071031
1934:3:16:0 -0.678063 -0.677946 -0.000116885
1934:4:16:0 -0.382132 -0.454667 0.0725344
1934:5:16:0 -0.492664 -0.516071 0.023407
1934:6:16:0 -0.117748 -0.312301 0.194554
1934:7:16:0 -0.178184 -0.182198 0.00401357
1934:8:16:0 0.0063121 -0.287306 0.293618
1934:9:16:0 -0.0927742 0.00761511 -0.100389
1934:10:16:0 -0.170925 -0.238728 0.0678033
1934:11:16:0 -0.0292757 -0.154747 0.125471
1934:12:16:0 0.126209 0.0528573 0.0733516
1935:1:16:0 -0.00389525 -0.189254 0.185359
1935:2:16:0 0.162475 0.0207632 0.141712
1935:3:16:0 -0.117713 -0.402833 0.28512
1935:4:16:0 -0.00154133 0.0209284 -0.0224697
1935:5:16:0 -0.0443971 -0.328169 0.283772
1935:6:16:0 -0.033486 -0.331932 0.298446
1935:7:16:0 -0.16508 -0.527535 0.362455
1935:8:16:0 -0.142048 -0.422899 0.280851
1935:9:16:0 -0.143513 -0.283586 0.140073
1935:10:16:0 -0.174973 -0.251806 0.0768324
1935:11:16:0 0.0136973 -0.366843 0.38054
1935:12:16:0 0.0355972 -0.208808 0.244405
1936:1:16:0 0.119602 -0.13955 0.259152
1936:2:16:0 0.0482455 0.251344 -0.203098
1936:3:16:0 0.0236751 0.0714004 -0.0477253
1936:4:16:0 -0.0069112 -0.141506 0.134595
1936:5:16:0 -0.135361 -0.167943 0.032582
1936:6:16:0 0.0239623 -0.249749 0.273711
1936:7:16:0 0.0492318 -0.207107 0.256339
1936:8:16:0 0.111671 0.237959 -0.126289
1936:9:16:0 0.262749 0.311562 -0.0488131
1936:10:16:0 -0.0817621 0.215056 -0.296818
1936:11:16:0 0.10376 -0.11248 0.216241
1936:12:16:0 0.17415 0.264406 -0.0902559
1937:1:16:0 0.059502 -0.0134795 0.0729815
1937:2:16:0 0.321231 0.369751 -0.0485202
1937:3:16:0 0.139507 0.238546 -0.0990393
1937:4:16:0 0.0071367 0.218911 -0.211774
1937:5:16:0 0.114913 -0.151695 0.266608
1937:6:16:0 0.0668491 0.157204 -0.0903548
1937:7:16:0 -0.0417599 0.190362 -0.232122
1937:8:16:0 0.0715564 0.0229115 0.0486449
1937:9:16:0 0.271054 -0.0399453 0.310999
1937:10:16:0 0.134679 0.056194 0.0784854
1937:11:16:0 0.254619 0.10125 0.153368
1937:12:16:0 -0.0627605 -0.156039 0.0932786
1938:1:16:0 0.126825 0.0188597 0.107965
1938:2:16:0 0.0923245 0.134207 -0.0418821
1938:3:16:0 0.186343 0.0165322 0.169811
1938:4:16:0 -0.0684695 0.0796386 -0.148108
1938:5:16:0 0.156612 -0.0850824 0.241695
1938:6:16:0 0.079923 0.263229 -0.183306
1938:7:16:0 -0.0559042 0.243242 -0.299147
1938:8:16:0 0.0683393 -0.0919723 0.160312
1938:9:16:0 -0.00591802 0.0530146 -0.0589326
1938:10:16:0 -0.0691277 0.145215 -0.214343
1938:11:16:0 -0.231975 0.196067 -0.428042
1938:12:16:0 -0.190102 0.112525 -0.302627
1939:1:16:0 -0.259875 -0.323546 0.0636714
1939:2:16:0 0.0122159 -0.378864 0.39108
1939:3:16:0 -0.19454 -0.380989 0.186449
1939:4:16:0 -0.21349 -0.14899 -0.0645006
1939:5:16:0 -0.28418 -0.17605 -0.10813
1939:6:16:0 -0.0875103 -0.12829 0.0407792
1939:7:16:0 -0.0652046 0.0159166 -0.0811211
1939:8:16:0 -0.190447 -0.0427446 -0.147703
1939:9:16:0 -0.126378 -0.232462 0.106084
1939:10:16:0 -0.129299 -0.32362 0.194321
1939:11:16:0 0.129308 0.171581 -0.0422736
1939:12:16:0 0.0830111 -0.046992 0.130003
1940:1:16:0 0.0862139 -0.184276 0.27049
1940:2:16:0 -0.0496402 -0.0158412 -0.033799
1940:3:16:0 -0.0400119 0.258261 -0.298273
1940:4:16:0 -0.161063 0.119133 -0.280196
1940:5:16:0 -0.146779 0.0854794 -0.232258
1940:6:16:0 0.0939924 -0.0897899 0.183782
1940:7:16:0 0.135581 0.187667 -0.0520856
1940:8:16:0 -0.111813 -0.167405 0.0555916
1940:9:16:0 0.0727635 0.0626763 0.0100872
1940:10:16:0 0.187149 0.262994 -0.075846
1940:11:16:0 0.263369 0.331985 -0.0686164
1940:12:16:0 0.23771 0.322711 -0.0850005
1941:1:16:0 0.30359 0.483538 -0.179948
1941:2:16:0 0.246158 0.679797 -0.433639
1941:3:16:0 0.36937 0.460049 -0.0906787
1941:4:16:0 0.420381 0.492431 -0.0720494
1941:5:16:0 0.254685 0.296579 -0.0418943
1941:6:16:0 0.269571 0.427009 -0.157438
1941:7:16:0 0.42595 0.533959 -0.108008
1941:8:16:0 0.4137 0.525589 -0.111889
1941:9:16:0 0.249512 0.187209 0.0623036
1941:10:16:0 0.37755 0.183771 0.193779
1941:11:16:0 0.659385 0.119771 0.539614
1941:12:16:0 0.545496 0.499164 0.0463323
1942:1:16:0 0.25272 0.254959 -0.00223827
1942:2:16:0 0.0948197 0.201637 -0.106817
1942:3:16:0 0.345972 0.420537 -0.0745648
1942:4:16:0 0.0872666 0.293194 -0.205927
1942:5:16:0 -0.00594366 0.365893 -0.371837
1942:6:16:0 -0.19479 0.523183 -0.717973
1942:7:16:0 -0.254459 0.118876 -0.373335
1942:8:16:0 -0.142574 0.638605 -0.78118
1942:9:16:0 -0.144496 0.396722 -0.541217
1942:10:16:0 -0.231702 -0.0394433 -0.192259
1942:11:16:0 -0.25678 0.0607483 -0.317528
1942:12:16:0 -0.361934 -0.0468186 -0.315116
1943:1:16:0 -0.441961 -0.151474 -0.290487
1943:2:16:0 -0.239695 -0.18653 -0.0531654
1943:3:16:0 -0.329038 -0.206259 -0.122779
1943:4:16:0 -0.285264 -0.275451 -0.0098134
1943:5:16:0 -0.00276355 -0.0467665 0.0440029
1943:6:16:0 -0.0193793 -0.390596 0.371217
1943:7:16:0 0.0201933 -0.397338 0.417532
1943:8:16:0 0.0685758 -0.276862 0.345438
1943:9:16:0 0.0227171 0.270641 -0.247924
1943:10:16:0 0.00515124 0.145594 -0.140442
1943:11:16:0 0.125177 0.234187 -0.109009
1943:12:16:0 -0.0193197 0.132059 -0.151379
1944:1:16:0 0.0582827 0.0231383 0.0351444
1944:2:16:0 0.0745034 -0.351954 0.426458
1944:3:16:0 0.0293692 0.0363692 -0.00699992
1944:4:16:0 -0.0870054 -0.0550194 -0.031986
1944:5:16:0 0.184868 -0.323293 0.508162
1944:6:16:0 0.142006 0.040545 0.101461
1944:7:16:0 0.276909 -0.0950972 0.372007
1944:8:16:0 0.23132 -0.124294 0.355614
1944:9:16:0 0.406926 0.0110632 0.395863
1944:10:16:0 -0.026196 0.177771 -0.203967
1944:11:16:0 0.0742161 0.0467596 0.0274565
1944:12:16:0 0.510502 0.105365 0.405137
1945:1:16:0 0.456349 0.401567 0.0547822
1945:2:16:0 0.573777 0.295533 0.278244
1945:3:16:0 0.0367503 -0.339402 0.376152
1945:4:16:0 -0.292933 -0.180321 -0.112612
1945:5:16:0 -0.377646 -0.0430047 -0.334642
1945:6:16:0 -0.19039 0.150453 -0.340843
1945:7:16:0 0.224577 0.426446 -0.201869
1945:8:16:0 0.0940382 0.433947 -0.339909
1945:9:16:0 -0.157579 0.0366206 -0.194199
1945:10:16:0 -0.172979 -0.0506441 -0.122335
1945:11:16:0 -0.126476 -0.0760477 -0.0504278
1945:12:16:0 0.0481707 0.144011 -0.0958399
1946:1:16:0 -0.00824063 -0.26442 0.256179
1946:2:16:0 0.0516291 -0.122946 0.174576
1946:3:16:0 -0.023803 0.0264237 -0.0502268
1946:4:16:0 -0.0179468 0.326545 -0.344492
1946:5:16:0 0.114719 -0.401655 0.516374
1946:6:16:0 -0.218674 -0.116554 -0.10212
1946:7:16:0 -0.152684 -0.315879 0.163195
1946:8:16:0 -0.118142 -0.585824 0.467682
1946:9:16:0 -0.110676 -0.44196 0.331284
1946:10:16:0 0.0609685 -0.160442 0.22141
1946:11:16:0 -0.124987 -0.379011 0.254024
1946:12:16:0 -0.340205 -0.329314 -0.0108905
1947:1:16:0 -0.0711858 0.0302451 -0.101431
1947:2:16:0 -0.0981897 -0.3183 0.22011
1947:3:16:0 -0.129807 -0.303991 0.174185
1947:4:16:0 -0.484807 -0.508108 0.023301
1947:5:16:0 -0.0876722 -0.417993 0.33032
1947:6:16:0 -0.115329 -0.271749 0.15642
1947:7:16:0 -0.415383 -0.114593 -0.30079
1947:8:16:0 -0.276509 0.0622022 -0.338711
1947:9:16:0 -0.511243 0.0474943 -0.558737
1947:10:16:0 -0.610855 -0.195174 -0.415681
1947:11:16:0 -0.417082 -0.387403 -0.029679
1947:12:16:0 -0.521052 -0.496005 -0.0250467
1948:1:16:0 -0.454267 -0.346484 -0.107783
1948:2:16:0 -0.216239 -0.248867 0.0326279
1948:3:16:0 -0.00375241 -0.201375 0.197623
1948:4:16:0 -0.0976189 -0.203932 0.106313
1948:5:16:0 -0.167423 -0.311502 0.144079
1948:6:16:0 -0.0129061 -0.284562 0.271656
1948:7:16:0 -0.0721908 -0.131873 0.0596819
1948:8:16:0 -0.143297 -0.00620737 -0.137089
1948:9:16:0 -0.403738 -0.157657 -0.24608
1948:10:16:0 -0.0861958 -0.187849 0.101653
1948:11:16:0 -0.330936 -0.232931 -0.0980052
1948:12:16:0 -0.111592 0.15998 -0.271572
1949:1:16:0 -0.203667 -0.415885 0.212218
1949:2:16:0 -0.114995 -0.475058 0.360063
1949:3:16:0 -0.257384 -0.312918 0.0555337
1949:4:16:0 -0.161803 -0.533347 0.371544
1949:5:16:0 -0.267155 -0.406471 0.139315
1949:6:16:0 -0.172131 -0.383547 0.211416
1949:7:16:0 0.0151568 -0.290621 0.305778
1949:8:16:0 -0.131709 -0.451475 0.319765
1949:9:16:0 -0.0372838 -0.342566 0.305282
1949:10:16:0 -0.0555866 -0.320911 0.265324
1949:11:16:0 -0.179151 -0.0714697 -0.107681
1949:12:16:0 -0.242281 -0.150209 -0.0920727
1950:1:16:0 -0.178303 -0.325364 0.14706
1950:2:16:0 -0.392684 -0.0340617 -0.358622
1950:3:16:0 -0.290637 0.226092 -0.516729
1950:4:16:0 -0.423923 -0.159772 -0.26415
1950:5:16:0 -0.276923 -0.196562 -0.0803613
1950:6:16:0 -0.364479 -0.0861213 -0.278357
1950:7:16:0 -0.30316 -0.274853 -0.0283078
1950:8:16:0 -0.34936 -0.439631 0.0902713
1950:9:16:0 -0.411736 -0.182063 -0.229673
1950:10:16:0 -0.317442 -0.123172 -0.19427
1950:11:16:0 -0.412411 -0.471847 0.0594362
1950:12:16:0 -0.375815 -0.583196 0.207382
1951:1:16:0 -0.361466 -0.811511 0.450045
1951:2:16:0 -0.319522 -0.721596 0.402074
1951:3:16:0 -0.161203 -0.588535 0.427332
1951:4:16:0 -0.522837 -0.223323 -0.299514
1951:5:16:0 -0.271219 -0.355846 0.0846269
1951:6:16:0 -0.0515243 -0.0874325 0.0359082
1951:7:16:0 -0.0812706 -0.183415 0.102144
1951:8:16:0 0.0637903 -0.365064 0.428854
1951:9:16:0 0.266862 -0.12325 0.390112
1951:10:16:0 0.158504 -0.0599219 0.218426
1951:11:16:0 0.208618 -0.18524 0.393858
1951:12:16:0 0.210291 0.051712 0.158579
1952:1:16:0 0.0225313 -0.0970695 0.119601
1952:2:16:0 0.138595 -0.127683 0.266279
1952:3:16:0 0.0711832 -0.220477 0.29166
1952:4:16:0 0.115463 -0.162146 0.277609
1952:5:16:0 0.0165384 -0.0639718 0.0805101
1952:6:16:0 0.0726697 -0.162413 0.235083
1952:7:16:0 -0.153145 -0.0477454 -0.1054
1952:8:16:0 -0.20344 -0.0561822 -0.147258
1952:9:16:0 -0.164812 0.035126 -0.199938
1952:10:16:0 -0.257253 -0.109278 -0.147975
1952:11:16:0 -0.111328 -0.22635 0.115021
1952:12:16:0 -0.00715625 -0.217341 0.210185
1953:1:16:0 0.0883553 -0.40602 0.494375
1953:2:16:0 0.0119457 -0.455066 0.467011
1953:3:16:0 0.17745 -0.176855 0.354304
1953:4:16:0 0.0694802 -0.0843541 0.153834
1953:5:16:0 0.237147 -0.302031 0.539178
1953:6:16:0 0.104527 0.00716078 0.0973661
1953:7:16:0 -0.105301 -0.242572 0.137271
1953:8:16:0 -0.212703 -0.288199 0.0754962
1953:9:16:0 -0.178147 -0.335494 0.157347
1953:10:16:0 -0.0671195 -0.148727 0.0816074
1953:11:16:0 0.148637 0.00887428 0.139762
1953:12:16:0 0.324194 0.208683 0.11551
1954:1:16:0 -0.00695997 0.147357 -0.154317
1954:2:16:0 0.0380799 0.12303 -0.0849502
1954:3:16:0 -0.0101898 -0.0245246 0.0143348
1954:4:16:0 0.029753 -0.160707 0.19046
1954:5:16:0 -0.106688 0.214777 -0.321465
1954:6:16:0 -0.238107 0.0499115 -0.288019
1954:7:16:0 -0.62119 -0.0946954 -0.526494
1954:8:16:0 -0.495718 -0.181353 -0.314365
1954:9:16:0 -0.513991 -0.197284 -0.316708
1954:10:16:0 -0.661389 -0.223444 -0.437945
1954:11:16:0 -0.384364 -0.218233 -0.166131
1954:12:16:0 -0.376424 -0.556991 0.180567
1955:1:16:0 -0.0408821 -0.177578 0.136696
1955:2:16:0 -0.355704 -0.395668 0.039964
1955:3:16:0 -0.223578 -0.416478 0.192901
1955:4:16:0 -0.250327 -0.418353 0.168026
1955:5:16:0 -0.423271 0.0352741 -0.458546
1955:6:16:0 -0.512096 -0.347913 -0.164183
1955:7:16:0 -0.368229 -0.25055 -0.117679
1955:8:16:0 -0.172783 -0.0585037 -0.11428
1955:9:16:0 -0.195991 0.139224 -0.335215
1955:10:16:0 -0.364693 -0.036368 -0.328325
1955:11:16:0 -0.262357 -0.277302 0.0149449
1955:12:16:0 -0.191674 -0.133327 -0.0583469
1956:1:16:0 -0.160054 -0.251545 0.0914909
1956:2:16:0 -0.256676 -0.425647 0.168971
1956:3:16:0 -0.157924 -0.333424 0.1755
1956:4:16:0 -0.153727 -0.0658824 -0.0878442
1956:5:16:0 -0.436643 -0.100306 -0.336337
1956:6:16:0 -0.486847 0.110119 -0.596966
1956:7:16:0 -0.537955 0.216515 -0.75447
